customer_id,age,job_type,housing,checking_account,savings_account,credit_amount_DM,duration_months,purpose,credit_history,employment_length,credit_score,risk_tier,credit_rating
CUST0034,27,skilled,own,>=200_DM,>=1000_DM,1631,22,radio_TV,existing_paid,1_to_4_years,80.5,Low Risk,Good
CUST0035,26,highly_skilled,own,>=200_DM,500_to_1000_DM,3256,33,radio_TV,critical_account,1_to_4_years,56.9,Medium Risk,Bad
CUST0036,33,skilled,own,0_to_200_DM,<100_DM,2091,9,car_new,critical_account,1_to_4_years,49.1,High Risk,Good
CUST0037,37,skilled,rent,no_account,no_savings,731,22,radio_TV,existing_paid,>=7_years,62.8,Medium Risk,Bad
CUST0038,29,unskilled_nonresident,own,no_account,<100_DM,1245,31,radio_TV,existing_paid,>=7_years,66.8,Medium Risk,Good
CUST0039,38,skilled,own,0_to_200_DM,100_to_500_DM,1181,20,radio_TV,critical_account,4_to_7_years,57.0,Medium Risk,Bad
CUST0040,36,unskilled_resident,own,<0_DM,<100_DM,1712,34,radio_TV,critical_account,<1_year,35.4,High Risk,Good
CUST0041,24,highly_skilled,own,no_account,<100_DM,2435,15,domestic_appliances,critical_account,4_to_7_years,46.5,High Risk,Good
CUST0042,38,unskilled_resident,own,<0_DM,no_savings,2422,40,radio_TV,no_credits,1_to_4_years,43.5,High Risk,Bad
CUST0043,42,skilled,free,no_account,<100_DM,521,63,car_new,delayed_past,1_to_4_years,41.1,High Risk,Bad
CUST0044,34,skilled,rent,0_to_200_DM,<100_DM,3807,16,radio_TV,all_paid,unemployed,49.4,High Risk,Good
CUST0045,46,skilled,own,no_account,500_to_1000_DM,2157,16,radio_TV,existing_paid,<1_year,68.4,Medium Risk,Good
CUST0046,22,unskilled_resident,rent,<0_DM,<100_DM,4765,41,radio_TV,all_paid,>=7_years,50.3,Medium Risk,Bad
CUST0047,38,skilled,free,no_account,<100_DM,2467,44,car_new,existing_paid,1_to_4_years,56.9,Medium Risk,Good
CUST0048,23,unskilled_resident,rent,<0_DM,<100_DM,3908,15,car_new,delayed_past,1_to_4_years,37.5,High Risk,Bad
CUST0049,23,unskilled_resident,rent,<0_DM,no_savings,2506,16,business,existing_paid,1_to_4_years,50.1,Medium Risk,Good
CUST0050,27,skilled,own,no_account,>=1000_DM,4639,17,radio_TV,existing_paid,>=7_years,77.5,Low Risk,Good
CUST0051,24,skilled,own,>=200_DM,<100_DM,2606,10,business,existing_paid,>=7_years,77.1,Low Risk,Good
CUST0052,28,skilled,own,0_to_200_DM,<100_DM,1688,12,radio_TV,existing_paid,1_to_4_years,66.0,Medium Risk,Good
CUST0053,31,skilled,own,>=200_DM,<100_DM,8872,12,radio_TV,existing_paid,<1_year,63.7,Medium Risk,Good
CUST0054,42,skilled,own,0_to_200_DM,<100_DM,3368,13,radio_TV,existing_paid,1_to_4_years,67.5,Medium Risk,Bad
CUST0055,30,skilled,rent,<0_DM,<100_DM,2701,19,business,critical_account,>=7_years,42.9,High Risk,Bad
CUST0056,20,highly_skilled,own,0_to_200_DM,<100_DM,739,22,radio_TV,all_paid,4_to_7_years,62.7,Medium Risk,Good
CUST0057,46,unskilled_resident,own,no_account,<100_DM,733,43,radio_TV,all_paid,1_to_4_years,56.5,Medium Risk,Good
CUST0058,25,skilled,own,no_account,<100_DM,2219,12,car_new,existing_paid,4_to_7_years,65.2,Medium Risk,Good
CUST0059,32,highly_skilled,own,no_account,no_savings,2001,32,furniture,critical_account,1_to_4_years,38.8,High Risk,Bad
CUST0060,37,skilled,own,no_account,<100_DM,1176,18,radio_TV,delayed_past,>=7_years,55.1,Medium Risk,Good
CUST0061,35,unskilled_resident,own,no_account,no_savings,1995,19,car_used,delayed_past,1_to_4_years,44.1,High Risk,Good
CUST0062,45,skilled,rent,no_account,<100_DM,5497,28,car_new,existing_paid,<1_year,52.8,Medium Risk,Bad
CUST0063,38,skilled,own,0_to_200_DM,100_to_500_DM,2941,11,car_used,existing_paid,<1_year,67.3,Medium Risk,Good
CUST0064,25,unskilled_resident,own,no_account,500_to_1000_DM,813,24,car_used,no_credits,1_to_4_years,58.3,Medium Risk,Bad
CUST0065,63,skilled,free,no_account,<100_DM,1672,21,car_new,delayed_past,>=7_years,57.0,Medium Risk,Good
CUST0066,35,skilled,own,<0_DM,<100_DM,1029,25,furniture,critical_account,1_to_4_years,40.8,High Risk,Bad
CUST0067,31,skilled,rent,no_account,no_savings,1378,23,business,existing_paid,>=7_years,61.2,Medium Risk,Good
CUST0068,44,unskilled_resident,rent,0_to_200_DM,<100_DM,1353,68,furniture,critical_account,>=7_years,46.3,High Risk,Bad
CUST0069,35,skilled,own,no_account,100_to_500_DM,1294,14,car_new,critical_account,1_to_4_years,49.2,High Risk,Bad
CUST0070,37,skilled,own,>=200_DM,<100_DM,750,15,car_new,existing_paid,unemployed,65.7,Medium Risk,Good
CUST0071,69,skilled,rent,0_to_200_DM,<100_DM,1653,14,radio_TV,critical_account,<1_year,47.1,High Risk,Bad
CUST0072,30,unskilled_resident,free,no_account,100_to_500_DM,1221,15,furniture,all_paid,4_to_7_years,63.2,Medium Risk,Good
CUST0073,30,unskilled_resident,own,no_account,100_to_500_DM,250,14,repairs,existing_paid,<1_year,62.9,Medium Risk,Good
CUST0074,34,skilled,free,0_to_200_DM,<100_DM,7608,36,radio_TV,existing_paid,1_to_4_years,58.5,Medium Risk,Good
CUST0075,45,unskilled_resident,own,0_to_200_DM,<100_DM,3874,40,radio_TV,no_credits,1_to_4_years,54.0,Medium Risk,Good
CUST0076,21,skilled,own,0_to_200_DM,<100_DM,1389,15,car_used,existing_paid,4_to_7_years,68.5,Medium Risk,Good
CUST0077,19,highly_skilled,own,0_to_200_DM,no_savings,1832,13,radio_TV,existing_paid,<1_year,57.2,Medium Risk,Good
CUST0078,27,skilled,own,no_account,500_to_1000_DM,796,25,car_used,existing_paid,1_to_4_years,68.5,Medium Risk,Good
CUST0079,20,skilled,own,no_account,100_to_500_DM,5925,15,business,existing_paid,1_to_4_years,61.9,Medium Risk,Good
CUST0080,29,unskilled_nonresident,own,no_account,<100_DM,6823,27,radio_TV,all_paid,1_to_4_years,52.3,Medium Risk,Good
CUST0081,38,unskilled_resident,own,0_to_200_DM,no_savings,2017,22,car_used,existing_paid,>=7_years,70.2,Low Risk,Good
CUST0082,25,unskilled_resident,free,<0_DM,100_to_500_DM,3701,9,car_used,existing_paid,<1_year,55.8,Medium Risk,Bad
CUST0083,21,skilled,own,no_account,<100_DM,2044,43,car_new,existing_paid,>=7_years,63.3,Medium Risk,Bad
CUST0084,33,highly_skilled,own,no_account,<100_DM,709,49,radio_TV,critical_account,4_to_7_years,44.3,High Risk,Good
CUST0085,42,unskilled_resident,own,no_account,<100_DM,1355,14,car_new,delayed_past,1_to_4_years,49.4,High Risk,Bad
CUST0086,19,skilled,own,no_account,no_savings,1982,16,radio_TV,critical_account,4_to_7_years,42.7,High Risk,Good
CUST0087,42,skilled,rent,0_to_200_DM,<100_DM,1315,23,car_used,delayed_past,1_to_4_years,48.2,High Risk,Good
CUST0088,42,highly_skilled,own,<0_DM,<100_DM,1551,23,radio_TV,existing_paid,<1_year,56.1,Medium Risk,Bad
CUST0089,44,unskilled_resident,own,0_to_200_DM,<100_DM,1695,27,repairs,delayed_past,4_to_7_years,55.8,Medium Risk,Bad
CUST0090,47,unskilled_resident,own,<0_DM,<100_DM,1708,54,radio_TV,existing_paid,1_to_4_years,56.6,Medium Risk,Good
CUST0091,64,unskilled_resident,own,no_account,<100_DM,1875,18,radio_TV,existing_paid,4_to_7_years,71.5,Low Risk,Good
CUST0092,29,skilled,own,0_to_200_DM,no_savings,860,13,car_new,critical_account,1_to_4_years,45.5,High Risk,Bad
CUST0093,34,skilled,own,0_to_200_DM,<100_DM,1094,10,car_new,existing_paid,>=7_years,74.7,Low Risk,Good
CUST0094,29,highly_skilled,rent,<0_DM,100_to_500_DM,735,13,radio_TV,critical_account,4_to_7_years,45.6,High Risk,Good
CUST0095,33,skilled,own,0_to_200_DM,no_savings,3584,19,furniture,critical_account,<1_year,39.9,High Risk,Bad
CUST0096,52,skilled,own,<0_DM,no_savings,414,49,furniture,critical_account,1_to_4_years,37.9,High Risk,Bad
CUST0097,22,skilled,rent,<0_DM,<100_DM,4054,15,car_new,critical_account,>=7_years,41.3,High Risk,Good
CUST0098,25,unskilled_resident,own,<0_DM,100_to_500_DM,4771,22,car_used,existing_paid,>=7_years,66.4,Medium Risk,Good
CUST0099,50,skilled,own,no_account,<100_DM,1463,19,car_new,existing_paid,1_to_4_years,65.1,Medium Risk,Good
CUST0100,44,highly_skilled,rent,no_account,<100_DM,292,36,education,existing_paid,>=7_years,65.3,Medium Risk,Good
CUST0101,29,skilled,rent,no_account,<100_DM,1404,71,car_used,existing_paid,1_to_4_years,50.2,Medium Risk,Good
CUST0102,42,highly_skilled,free,<0_DM,<100_DM,1728,15,radio_TV,existing_paid,1_to_4_years,59.1,Medium Risk,Good
CUST0103,36,skilled,own,no_account,no_savings,891,15,car_new,delayed_past,>=7_years,52.5,Medium Risk,Good
CUST0104,51,unskilled_resident,own,<0_DM,<100_DM,1260,33,radio_TV,delayed_past,>=7_years,52.4,Medium Risk,Good
CUST0105,33,skilled,rent,0_to_200_DM,<100_DM,5277,28,car_used,existing_paid,4_to_7_years,62.7,Medium Risk,Good
CUST0106,45,unskilled_nonresident,own,no_account,<100_DM,2879,50,business,existing_paid,>=7_years,66.1,Medium Risk,Good
CUST0107,73,skilled,own,<0_DM,<100_DM,946,26,business,existing_paid,<1_year,61.5,Medium Risk,Good
CUST0108,39,unskilled_resident,own,0_to_200_DM,<100_DM,590,16,car_used,existing_paid,>=7_years,75.0,Low Risk,Good
CUST0109,33,skilled,rent,no_account,<100_DM,1438,26,business,critical_account,1_to_4_years,39.1,High Risk,Good
CUST0110,41,skilled,free,no_account,<100_DM,1557,34,others,existing_paid,<1_year,55.4,Medium Risk,Bad
CUST0111,29,highly_skilled,own,no_account,no_savings,2558,30,repairs,existing_paid,1_to_4_years,56.2,Medium Risk,Bad
CUST0112,67,skilled,own,no_account,no_savings,1242,25,education,no_credits,1_to_4_years,54.4,Medium Risk,Bad
CUST0113,34,highly_skilled,own,0_to_200_DM,<100_DM,2586,34,car_used,delayed_past,1_to_4_years,48.6,High Risk,Good
CUST0114,30,unskilled_resident,own,0_to_200_DM,100_to_500_DM,7006,36,radio_TV,delayed_past,1_to_4_years,49.2,High Risk,Good
CUST0115,25,unskilled_nonresident,own,<0_DM,>=1000_DM,3199,40,car_new,existing_paid,<1_year,60.8,Medium Risk,Good
CUST0116,46,skilled,free,0_to_200_DM,<100_DM,1748,27,car_new,all_paid,1_to_4_years,60.1,Medium Risk,Good
CUST0117,42,skilled,own,0_to_200_DM,<100_DM,1590,18,others,existing_paid,1_to_4_years,67.7,Medium Risk,Good
CUST0118,28,skilled,own,no_account,no_savings,1408,21,car_used,existing_paid,1_to_4_years,57.9,Medium Risk,Good
CUST0119,39,skilled,own,0_to_200_DM,100_to_500_DM,4131,36,radio_TV,delayed_past,1_to_4_years,52.3,Medium Risk,Bad
CUST0120,21,skilled,free,<0_DM,<100_DM,1165,13,domestic_appliances,existing_paid,4_to_7_years,59.9,Medium Risk,Good
CUST0121,35,skilled,own,0_to_200_DM,<100_DM,1866,24,education,existing_paid,>=7_years,72.5,Low Risk,Good
CUST0122,37,skilled,own,0_to_200_DM,<100_DM,1874,16,others,existing_paid,>=7_years,74.0,Low Risk,Good
CUST0123,55,skilled,own,no_account,<100_DM,1272,20,car_used,critical_account,1_to_4_years,48.0,High Risk,Bad
CUST0124,26,skilled,own,no_account,100_to_500_DM,691,38,car_new,existing_paid,4_to_7_years,66.6,Medium Risk,Good
CUST0125,22,skilled,rent,no_account,no_savings,2266,22,furniture,delayed_past,<1_year,33.3,High Risk,Bad
CUST0126,25,skilled,own,<0_DM,<100_DM,1732,20,car_new,existing_paid,<1_year,53.4,Medium Risk,Bad
CUST0127,22,unskilled_resident,own,0_to_200_DM,100_to_500_DM,2566,10,car_new,existing_paid,1_to_4_years,68.8,Medium Risk,Good
CUST0128,49,skilled,own,0_to_200_DM,<100_DM,1244,29,furniture,no_credits,>=7_years,64.7,Medium Risk,Good
CUST0129,52,skilled,own,no_account,<100_DM,4249,27,radio_TV,existing_paid,1_to_4_years,62.8,Medium Risk,Good
CUST0130,36,skilled,own,<0_DM,<100_DM,978,59,radio_TV,critical_account,<1_year,32.3,High Risk,Bad
CUST0131,47,skilled,own,<0_DM,>=1000_DM,5993,17,car_used,existing_paid,<1_year,66.4,Medium Risk,Good
CUST0132,34,skilled,own,no_account,no_savings,532,22,radio_TV,no_credits,>=7_years,56.3,Medium Risk,Good
CUST0133,32,skilled,own,no_account,<100_DM,2451,22,car_new,no_credits,4_to_7_years,54.9,Medium Risk,Good
CUST0134,29,skilled,own,no_account,no_savings,2521,44,car_new,existing_paid,1_to_4_years,54.3,Medium Risk,Good
CUST0135,30,skilled,own,>=200_DM,<100_DM,1035,19,radio_TV,existing_paid,1_to_4_years,70.8,Low Risk,Good
CUST0136,20,skilled,rent,no_account,no_savings,2433,23,radio_TV,no_credits,1_to_4_years,41.7,High Risk,Bad
CUST0137,35,skilled,own,<0_DM,<100_DM,4427,27,radio_TV,critical_account,4_to_7_years,42.7,High Risk,Good
CUST0138,32,skilled,own,0_to_200_DM,<100_DM,383,22,car_new,existing_paid,<1_year,62.1,Medium Risk,Good
CUST0139,41,skilled,own,no_account,500_to_1000_DM,2570,16,education,existing_paid,>=7_years,78.3,Low Risk,Good
CUST0140,34,unskilled_resident,own,>=200_DM,<100_DM,315,22,radio_TV,critical_account,1_to_4_years,53.5,Medium Risk,Good
CUST0141,31,skilled,own,>=200_DM,no_savings,919,34,radio_TV,existing_paid,4_to_7_years,69.9,Medium Risk,Good
CUST0142,25,unskilled_resident,rent,no_account,<100_DM,5655,12,radio_TV,critical_account,unemployed,30.3,High Risk,Bad
CUST0143,33,unskilled_resident,rent,<0_DM,<100_DM,1203,21,education,existing_paid,1_to_4_years,54.9,Medium Risk,Good
CUST0144,41,highly_skilled,own,no_account,500_to_1000_DM,794,14,radio_TV,critical_account,1_to_4_years,54.6,Medium Risk,Good
CUST0145,23,highly_skilled,own,no_account,no_savings,1574,36,radio_TV,existing_paid,1_to_4_years,54.9,Medium Risk,Bad
CUST0146,33,unskilled_resident,rent,no_account,<100_DM,7688,9,others,critical_account,<1_year,34.1,High Risk,Bad
CUST0147,35,skilled,own,<0_DM,<100_DM,501,15,radio_TV,critical_account,>=7_years,49.5,High Risk,Good
CUST0148,26,unskilled_resident,own,<0_DM,no_savings,866,24,furniture,existing_paid,<1_year,50.4,Medium Risk,Good
CUST0149,27,skilled,own,no_account,<100_DM,5157,43,radio_TV,critical_account,4_to_7_years,41.7,High Risk,Good
CUST0150,35,skilled,own,no_account,<100_DM,6636,19,furniture,existing_paid,>=7_years,66.6,Medium Risk,Good
CUST0151,23,highly_skilled,own,0_to_200_DM,<100_DM,1681,15,car_new,existing_paid,1_to_4_years,64.7,Medium Risk,Good
CUST0152,36,skilled,own,no_account,<100_DM,759,51,radio_TV,existing_paid,4_to_7_years,62.5,Medium Risk,Good
CUST0153,25,skilled,own,no_account,<100_DM,7840,9,business,existing_paid,4_to_7_years,62.6,Medium Risk,Good
CUST0154,45,skilled,own,<0_DM,<100_DM,5519,6,business,existing_paid,1_to_4_years,60.8,Medium Risk,Good
CUST0155,66,skilled,own,>=200_DM,>=1000_DM,2908,25,furniture,existing_paid,>=7_years,93.3,Low Risk,Good
CUST0156,25,highly_skilled,own,no_account,<100_DM,1023,15,radio_TV,existing_paid,1_to_4_years,61.4,Medium Risk,Good
CUST0157,38,highly_skilled,rent,0_to_200_DM,<100_DM,1747,12,car_new,critical_account,1_to_4_years,45.8,High Risk,Bad
CUST0158,26,skilled,own,0_to_200_DM,<100_DM,1616,28,others,critical_account,4_to_7_years,49.5,High Risk,Bad
CUST0159,45,skilled,own,no_account,<100_DM,2279,22,others,existing_paid,1_to_4_years,63.4,Medium Risk,Bad
CUST0160,22,skilled,free,0_to_200_DM,<100_DM,4992,15,radio_TV,existing_paid,1_to_4_years,60.7,Medium Risk,Bad
CUST0161,38,unskilled_resident,own,no_account,500_to_1000_DM,3346,10,domestic_appliances,existing_paid,1_to_4_years,71.2,Low Risk,Good
CUST0162,25,skilled,own,<0_DM,<100_DM,850,31,radio_TV,existing_paid,>=7_years,63.3,Medium Risk,Good
CUST0163,31,skilled,own,<0_DM,500_to_1000_DM,4738,27,radio_TV,all_paid,>=7_years,65.8,Medium Risk,Good
CUST0164,24,skilled,own,<0_DM,no_savings,2251,19,car_new,existing_paid,1_to_4_years,54.0,Medium Risk,Good
CUST0165,42,skilled,own,no_account,<100_DM,2924,50,furniture,existing_paid,4_to_7_years,62.6,Medium Risk,Good
CUST0166,25,skilled,own,0_to_200_DM,500_to_1000_DM,5047,11,radio_TV,critical_account,>=7_years,60.8,Medium Risk,Good
CUST0167,39,unskilled_resident,own,no_account,no_savings,830,9,radio_TV,existing_paid,<1_year,57.9,Medium Risk,Good
CUST0168,29,highly_skilled,own,no_account,>=1000_DM,1763,14,furniture,existing_paid,<1_year,68.9,Medium Risk,Good
CUST0169,31,highly_skilled,rent,no_account,<100_DM,1246,19,business,existing_paid,4_to_7_years,61.8,Medium Risk,Good
CUST0170,34,highly_skilled,free,<0_DM,500_to_1000_DM,603,22,car_new,existing_paid,>=7_years,72.3,Low Risk,Good
CUST0171,26,skilled,rent,0_to_200_DM,<100_DM,2304,17,furniture,existing_paid,>=7_years,67.6,Medium Risk,Good
CUST0172,35,unskilled_resident,free,no_account,<100_DM,10489,23,radio_TV,delayed_past,1_to_4_years,40.0,High Risk,Bad
CUST0173,52,skilled,free,<0_DM,<100_DM,498,10,radio_TV,existing_paid,<1_year,58.2,Medium Risk,Good
CUST0174,26,skilled,own,no_account,<100_DM,1767,41,radio_TV,existing_paid,1_to_4_years,57.6,Medium Risk,Bad
CUST0175,47,unskilled_resident,own,<0_DM,no_savings,2830,19,car_used,critical_account,<1_year,35.8,High Risk,Bad
CUST0176,51,skilled,own,no_account,no_savings,1970,35,car_new,critical_account,1_to_4_years,41.8,High Risk,Bad
CUST0177,25,skilled,own,0_to_200_DM,no_savings,1670,23,radio_TV,delayed_past,>=7_years,53.0,Medium Risk,Bad
CUST0178,21,highly_skilled,own,no_account,<100_DM,728,25,radio_TV,existing_paid,<1_year,55.5,Medium Risk,Good
CUST0179,36,unskilled_resident,own,0_to_200_DM,100_to_500_DM,2128,26,car_new,delayed_past,>=7_years,61.3,Medium Risk,Good
CUST0180,28,skilled,own,no_account,no_savings,1064,25,radio_TV,existing_paid,1_to_4_years,57.6,Medium Risk,Good
CUST0181,58,skilled,own,no_account,no_savings,390,27,furniture,existing_paid,4_to_7_years,67.0,Medium Risk,Good
CUST0182,33,skilled,own,no_account,<100_DM,4172,39,radio_TV,no_credits,<1_year,43.8,High Risk,Bad
CUST0183,26,highly_skilled,own,0_to_200_DM,<100_DM,3536,22,education,existing_paid,1_to_4_years,63.3,Medium Risk,Good
CUST0184,23,skilled,own,0_to_200_DM,no_savings,1874,28,car_new,existing_paid,<1_year,55.8,Medium Risk,Good
CUST0185,45,highly_skilled,rent,no_account,no_savings,2122,19,car_new,existing_paid,>=7_years,63.9,Medium Risk,Good
CUST0186,27,skilled,rent,<0_DM,500_to_1000_DM,3835,41,radio_TV,critical_account,>=7_years,46.7,High Risk,Bad
CUST0187,33,skilled,own,0_to_200_DM,100_to_500_DM,2115,14,radio_TV,critical_account,1_to_4_years,52.4,Medium Risk,Good
CUST0188,44,unskilled_nonresident,rent,<0_DM,<100_DM,3404,49,radio_TV,critical_account,<1_year,29.8,Very High Risk,Good
CUST0189,28,unskilled_nonresident,rent,<0_DM,<100_DM,1468,19,education,existing_paid,>=7_years,61.2,Medium Risk,Good
CUST0190,32,skilled,own,no_account,<100_DM,4529,9,domestic_appliances,critical_account,1_to_4_years,43.6,High Risk,Good
CUST0191,32,unskilled_resident,rent,no_account,<100_DM,2263,21,business,existing_paid,<1_year,53.2,Medium Risk,Good
CUST0192,40,skilled,own,0_to_200_DM,<100_DM,2071,14,radio_TV,critical_account,1_to_4_years,49.7,High Risk,Good
CUST0193,39,unskilled_resident,own,0_to_200_DM,<100_DM,743,30,furniture,existing_paid,>=7_years,73.0,Low Risk,Good
CUST0194,30,unskilled_resident,own,<0_DM,<100_DM,2210,14,furniture,critical_account,unemployed,33.8,High Risk,Bad
CUST0195,33,highly_skilled,own,no_account,no_savings,1009,16,car_new,existing_paid,1_to_4_years,59.7,Medium Risk,Good
CUST0196,29,unskilled_nonresident,own,no_account,<100_DM,1156,7,radio_TV,critical_account,>=7_years,52.2,Medium Risk,Good
CUST0197,21,skilled,own,0_to_200_DM,500_to_1000_DM,1021,16,car_used,critical_account,<1_year,50.6,Medium Risk,Good
CUST0198,35,unskilled_resident,own,0_to_200_DM,<100_DM,857,5,business,existing_paid,<1_year,64.7,Medium Risk,Good
CUST0199,58,highly_skilled,own,0_to_200_DM,100_to_500_DM,8001,9,radio_TV,existing_paid,1_to_4_years,72.4,Low Risk,Good
CUST0200,25,highly_skilled,rent,0_to_200_DM,>=1000_DM,4591,29,radio_TV,critical_account,>=7_years,57.6,Medium Risk,Good
CUST0201,26,skilled,free,<0_DM,no_savings,6934,29,furniture,existing_paid,1_to_4_years,48.5,High Risk,Good
CUST0202,25,skilled,own,no_account,<100_DM,768,24,car_new,critical_account,>=7_years,49.3,High Risk,Bad
CUST0203,41,unskilled_nonresident,own,no_account,<100_DM,1900,12,car_new,existing_paid,4_to_7_years,68.2,Medium Risk,Good
CUST0204,37,highly_skilled,own,0_to_200_DM,>=1000_DM,731,19,furniture,existing_paid,<1_year,74.2,Low Risk,Bad
CUST0205,31,highly_skilled,own,<0_DM,>=1000_DM,1110,20,car_new,existing_paid,>=7_years,76.8,Low Risk,Good
CUST0206,25,highly_skilled,own,no_account,<100_DM,950,11,radio_TV,existing_paid,1_to_4_years,62.0,Medium Risk,Good
CUST0207,34,skilled,own,no_account,<100_DM,4305,42,education,critical_account,1_to_4_years,39.5,High Risk,Good
CUST0208,20,skilled,own,<0_DM,100_to_500_DM,1370,31,business,existing_paid,1_to_4_years,59.1,Medium Risk,Good
CUST0209,34,highly_skilled,rent,no_account,no_savings,3819,17,radio_TV,existing_paid,1_to_4_years,54.2,Medium Risk,Good
CUST0210,43,skilled,own,no_account,<100_DM,2759,20,car_new,existing_paid,<1_year,59.0,Medium Risk,Good
CUST0211,22,skilled,own,<0_DM,500_to_1000_DM,9068,22,education,existing_paid,unemployed,53.6,Medium Risk,Good
CUST0212,20,unskilled_resident,own,0_to_200_DM,<100_DM,641,7,business,critical_account,1_to_4_years,47.9,High Risk,Good
CUST0213,53,highly_skilled,rent,<0_DM,<100_DM,4365,17,car_new,critical_account,>=7_years,46.3,High Risk,Good
CUST0214,27,unskilled_resident,own,no_account,<100_DM,4033,14,radio_TV,existing_paid,1_to_4_years,60.3,Medium Risk,Good
CUST0215,46,skilled,free,0_to_200_DM,<100_DM,914,12,car_used,critical_account,>=7_years,56.7,Medium Risk,Good
CUST0216,31,skilled,own,no_account,<100_DM,3659,17,domestic_appliances,critical_account,1_to_4_years,42.8,High Risk,Good
CUST0217,31,skilled,own,no_account,<100_DM,2287,49,others,existing_paid,1_to_4_years,57.1,Medium Risk,Good
